@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24, unlabeled}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
F, 0.48999999999999994, 0.37, 0.115, 0.541, 0.171, 0.1175, 0.185, 11
M, 0.625, 0.47, 0.145, 1.7855, 0.675, 0.247, 0.3245, 13
I, 0.465, 0.355, 0.12000000000000001, 0.4975, 0.2375, 0.099, 0.14, 8
I, 0.375, 0.29, 0.095, 0.213, 0.096, 0.041, 0.061, 5
M, 0.5349999999999999, 0.435, 0.15, 0.725, 0.269, 0.1385, 0.25, 9
F, 0.45, 0.36000000000000004, 0.11, 0.44699999999999995, 0.20300000000000004, 0.082, 0.13, 12
F, 0.51, 0.4, 0.125, 0.545, 0.261, 0.115, 0.1385, 6
M, 0.5049999999999999, 0.385, 0.15, 0.6415, 0.24599999999999997, 0.152, 0.215, 12
M, 0.655, 0.535, 0.205, 1.6445, 0.7305, 0.3595, 0.46, 13
F, 0.53, 0.415, 0.15, 0.7775000000000001, 0.23700000000000002, 0.1415, 0.33, 20
I, 0.355, 0.2800000000000001, 0.11, 0.22349999999999998, 0.0815, 0.0525, 0.08, 7
M, 0.61, 0.47, 0.155, 1.0325, 0.497, 0.2175, 0.2785, 9
M, 0.645, 0.485, 0.215, 1.514, 0.546, 0.2615, 0.635, 16
M, 0.55, 0.425, 0.16, 0.793, 0.343, 0.2035, 0.215, 9
I, 0.48999999999999994, 0.4, 0.135, 0.624, 0.3035, 0.1285, 0.169, 8
I, 0.44, 0.34, 0.105, 0.369, 0.164, 0.08, 0.1015, 5
M, 0.315, 0.24999999999999997, 0.09, 0.203, 0.0615, 0.037, 0.0795, 11
M, 0.62, 0.48, 0.16, 1.0765, 0.412, 0.253, 0.3, 13
I, 0.4749999999999999, 0.365, 0.14, 0.45449999999999996, 0.171, 0.11799999999999998, 0.158, 8
M, 0.6, 0.475, 0.155, 1.1385, 0.502, 0.2295, 0.31, 9
M, 0.54, 0.41, 0.13, 0.56, 0.2375, 0.1065, 0.175, 7
I, 0.515, 0.39000000000000007, 0.12000000000000001, 0.565, 0.235, 0.135, 0.179, 9
I, 0.26499999999999996, 0.195, 0.055, 0.084, 0.0365, 0.0175, 0.025, 7
M, 0.54, 0.455, 0.14, 0.972, 0.41899999999999993, 0.255, 0.269, 10
I, 0.46, 0.35, 0.12000000000000001, 0.4885, 0.19299999999999998, 0.105, 0.155, 11
M, 0.635, 0.5, 0.165, 1.273, 0.6535, 0.213, 0.365, 12
I, 0.5199999999999999, 0.38, 0.135, 0.5395, 0.2295, 0.133, 0.157, 8
M, 0.565, 0.455, 0.16999999999999998, 0.9065, 0.342, 0.156, 0.32, 18
M, 0.555, 0.45, 0.145, 0.9149999999999999, 0.39999999999999997, 0.24600000000000002, 0.285, 11
I, 0.235, 0.17, 0.065, 0.0625, 0.023, 0.014, 0.022, 6
M, 0.37, 0.29, 0.09, 0.241, 0.11, 0.045, 0.069, 10
M, 0.51, 0.415, 0.14, 0.8185000000000001, 0.3025, 0.21550000000000002, 0.235, 16
I, 0.35, 0.26, 0.095, 0.211, 0.086, 0.055999999999999994, 0.068, 7
M, 0.6, 0.495, 0.165, 1.2415, 0.485, 0.2775, 0.34, 15
F, 0.585, 0.465, 0.145, 0.9855, 0.4325, 0.21449999999999997, 0.2845, 10
F, 0.65, 0.505, 0.165, 1.357, 0.5725, 0.281, 0.43, 11
I, 0.42, 0.32, 0.115, 0.376, 0.169, 0.092, 0.1, 5
F, 0.73, 0.55, 0.205, 1.908, 0.5415, 0.3565, 0.5965, 14
M, 0.65, 0.515, 0.125, 1.1805, 0.5235, 0.283, 0.3275, 9
F, 0.4749999999999999, 0.35, 0.115, 0.487, 0.19400000000000003, 0.1455, 0.125, 13
F, 0.655, 0.51, 0.16, 1.092, 0.396, 0.2825, 0.37, 14
M, 0.69, 0.525, 0.2, 1.7825, 0.9165, 0.3325, 0.461, 12
M, 0.7, 0.565, 0.18, 1.751, 0.895, 0.3355, 0.446, 9
F, 0.5199999999999999, 0.395, 0.18, 0.64, 0.158, 0.11, 0.245, 22
I, 0.515, 0.4050000000000001, 0.13, 0.573, 0.213, 0.134, 0.195, 9
F, 0.53, 0.42999999999999994, 0.15, 0.741, 0.325, 0.1855, 0.196, 9
M, 0.425, 0.325, 0.1, 0.3295, 0.1365, 0.0725, 0.11, 7
I, 0.45499999999999996, 0.335, 0.135, 0.501, 0.274, 0.0995, 0.1065, 7
I, 0.55, 0.435, 0.14, 0.7995000000000001, 0.295, 0.1905, 0.238, 10
F, 0.63, 0.475, 0.155, 1.0004999999999997, 0.45199999999999996, 0.252, 0.265, 10
I, 0.45, 0.335, 0.115, 0.3935, 0.195, 0.071, 0.11, 7
F, 0.635, 0.485, 0.155, 1.073, 0.4670000000000001, 0.1975, 0.35, 11
M, 0.655, 0.515, 0.2, 1.373, 0.443, 0.3375, 0.49, 16
F, 0.48999999999999994, 0.38, 0.145, 0.6725, 0.249, 0.181, 0.21, 10
M, 0.555, 0.4, 0.13, 0.7075, 0.332, 0.1585, 0.18, 7
M, 0.545, 0.42, 0.125, 0.9745, 0.353, 0.174, 0.305, 13
M, 0.5199999999999999, 0.385, 0.115, 0.669, 0.2385, 0.172, 0.205, 12
F, 0.68, 0.56, 0.165, 1.6390000000000002, 0.6055, 0.2805, 0.46, 15
I, 0.61, 0.425, 0.155, 1.0485, 0.507, 0.1955, 0.274, 11
F, 0.57, 0.44, 0.12000000000000001, 0.803, 0.38200000000000006, 0.1525, 0.234, 9
M, 0.555, 0.435, 0.14, 0.7495, 0.341, 0.1645, 0.214, 8
F, 0.325, 0.26, 0.09, 0.1915, 0.085, 0.036, 0.062, 7
I, 0.425, 0.32, 0.1, 0.3055, 0.126, 0.06, 0.106, 7
I, 0.575, 0.44, 0.125, 0.8515, 0.4555, 0.1715, 0.1965, 9
F, 0.5049999999999999, 0.385, 0.135, 0.6185, 0.251, 0.1175, 0.2, 12
M, 0.465, 0.36000000000000004, 0.125, 0.4365, 0.169, 0.10749999999999998, 0.145, 11
M, 0.55, 0.425, 0.15, 0.8315000000000001, 0.4109999999999999, 0.1765, 0.2165, 10
F, 0.645, 0.49, 0.19, 1.3065, 0.479, 0.3565, 0.345, 18
I, 0.415, 0.325, 0.11, 0.316, 0.1385, 0.0795, 0.0925, 8
F, 0.595, 0.455, 0.16, 1.04, 0.45199999999999996, 0.2655, 0.288, 9
F, 0.615, 0.49, 0.19, 1.1345, 0.4695, 0.257, 0.348, 11
M, 0.565, 0.39000000000000007, 0.125, 0.744, 0.352, 0.13, 0.1685, 11
M, 0.6, 0.495, 0.17499999999999996, 1.3005, 0.6195, 0.284, 0.3285, 11
M, 0.62, 0.515, 0.17499999999999996, 1.221, 0.535, 0.241, 0.395, 13
F, 0.615, 0.475, 0.17499999999999996, 1.194, 0.559, 0.259, 0.3165, 11
I, 0.27, 0.195, 0.060000000000000005, 0.073, 0.0285, 0.0235, 0.03, 5
M, 0.45, 0.335, 0.14, 0.46249999999999997, 0.164, 0.076, 0.15, 14
M, 0.495, 0.415, 0.165, 0.7485, 0.264, 0.134, 0.285, 13
M, 0.5199999999999999, 0.38, 0.135, 0.5825, 0.2505, 0.1565, 0.175, 8
M, 0.63, 0.51, 0.19, 1.4985, 0.4125, 0.3075, 0.545, 16
I, 0.2849999999999999, 0.21, 0.07, 0.109, 0.044, 0.0265, 0.033, 5
F, 0.5199999999999999, 0.41, 0.16, 0.712, 0.2845, 0.153, 0.225, 10
M, 0.59, 0.485, 0.12000000000000001, 0.9109999999999999, 0.38999999999999996, 0.182, 0.29, 16
I, 0.38, 0.275, 0.11, 0.256, 0.11, 0.0535, 0.0755, 6
M, 0.57, 0.435, 0.125, 0.8965, 0.383, 0.1835, 0.275, 9
I, 0.4749999999999999, 0.365, 0.12000000000000001, 0.5185, 0.268, 0.1095, 0.1365, 8
F, 0.625, 0.495, 0.16, 1.1115, 0.44949999999999996, 0.2825, 0.345, 11
I, 0.24, 0.18, 0.055, 0.0555, 0.0235, 0.013, 0.018, 4
I, 0.37, 0.275, 0.14, 0.22149999999999997, 0.09699999999999999, 0.0455, 0.0615, 6
M, 0.545, 0.45, 0.15, 0.978, 0.3365, 0.1905, 0.3, 11
M, 0.645, 0.5, 0.17499999999999996, 1.3375, 0.554, 0.308, 0.415, 10
F, 0.635, 0.51, 0.185, 1.286, 0.526, 0.295, 0.4105, 12
M, 0.57, 0.48, 0.18, 0.9395, 0.399, 0.19999999999999998, 0.295, 14
M, 0.62, 0.48, 0.165, 1.0725, 0.4815, 0.235, 0.312, 9
F, 0.645, 0.51, 0.16, 1.2415, 0.5815, 0.276, 0.315, 9
M, 0.615, 0.505, 0.165, 1.167, 0.4895, 0.2955, 0.345, 10
F, 0.5199999999999999, 0.4, 0.12000000000000001, 0.6515, 0.261, 0.20150000000000004, 0.165, 15
M, 0.4749999999999999, 0.37500000000000006, 0.12000000000000001, 0.563, 0.2525, 0.1205, 0.185, 10
M, 0.69, 0.515, 0.18, 1.8445, 0.9815, 0.4655, 0.341, 13
M, 0.65, 0.525, 0.19, 1.6125, 0.777, 0.3685, 0.3965, 11
M, 0.615, 0.45, 0.15, 1.198, 0.707, 0.2095, 0.2505, 7
M, 0.59, 0.45999999999999996, 0.13, 1.102, 0.455, 0.20549999999999996, 0.33, 12
M, 0.62, 0.47, 0.135, 1.0195, 0.5315, 0.20049999999999998, 0.2475, 8
I, 0.22500000000000003, 0.16, 0.045, 0.0465, 0.024999999999999998, 0.015, 0.015, 4
I, 0.275, 0.195, 0.07, 0.0875, 0.0345, 0.022, 0.0255, 4
I, 0.4749999999999999, 0.365, 0.115, 0.45899999999999996, 0.21749999999999997, 0.093, 0.1165, 7
I, 0.42, 0.325, 0.115, 0.354, 0.1625, 0.064, 0.105, 8
I, 0.57, 0.425, 0.14, 0.7655000000000001, 0.331, 0.14, 0.24, 10
F, 0.46, 0.37500000000000006, 0.12000000000000001, 0.46049999999999996, 0.1775, 0.11, 0.15, 7
M, 0.445, 0.34, 0.12000000000000001, 0.44749999999999995, 0.19299999999999998, 0.10349999999999998, 0.13, 9
I, 0.31, 0.225, 0.07, 0.1055, 0.435, 0.015, 0.04, 5
I, 0.435, 0.34, 0.12000000000000001, 0.396, 0.1775, 0.081, 0.125, 8
M, 0.5, 0.41, 0.15, 0.662, 0.2815, 0.137, 0.22, 11
M, 0.5049999999999999, 0.38, 0.13, 0.656, 0.227, 0.1785, 0.22, 13
I, 0.51, 0.39000000000000007, 0.125, 0.597, 0.293, 0.1265, 0.1555, 8
M, 0.57, 0.45, 0.16, 0.8615, 0.3725, 0.2175, 0.255, 12
F, 0.5199999999999999, 0.425, 0.145, 0.7, 0.207, 0.1905, 0.24, 13
I, 0.56, 0.425, 0.135, 0.8205000000000001, 0.3715, 0.185, 0.236, 9
I, 0.44, 0.34, 0.1, 0.407, 0.209, 0.0735, 0.103, 7
F, 0.62, 0.475, 0.16, 1.3245, 0.6865, 0.233, 0.3275, 9
M, 0.575, 0.47, 0.15, 1.1415, 0.45150000000000007, 0.204, 0.4, 13
F, 0.485, 0.365, 0.12000000000000001, 0.5885, 0.27, 0.131, 0.175, 9
F, 0.695, 0.535, 0.17499999999999996, 1.8385, 0.8035, 0.396, 0.503, 10
M, 0.65, 0.485, 0.14, 1.175, 0.475, 0.2435, 0.215, 8
M, 0.21000000000000002, 0.15, 0.05, 0.0385, 0.0155, 0.0085, 0.01, 3
F, 0.59, 0.47, 0.16999999999999998, 0.8999999999999999, 0.355, 0.1905, 0.25, 11
M, 0.515, 0.435, 0.145, 0.8815, 0.292, 0.20599999999999996, 0.255, 10
M, 0.465, 0.4050000000000001, 0.135, 0.7775000000000001, 0.436, 0.1715, 0.1455, 10
M, 0.5049999999999999, 0.4, 0.155, 0.8415, 0.2715, 0.1775, 0.285, 12
M, 0.575, 0.45999999999999996, 0.165, 0.9155, 0.4005, 0.2465, 0.2385, 8
F, 0.675, 0.54, 0.21, 1.5930000000000002, 0.686, 0.318, 0.45, 11
F, 0.5349999999999999, 0.4, 0.15, 1.224, 0.618, 0.275, 0.2875, 10
F, 0.5349999999999999, 0.41, 0.13, 0.7145, 0.335, 0.144, 0.2075, 9
M, 0.54, 0.415, 0.16999999999999998, 0.8789999999999999, 0.339, 0.20800000000000002, 0.255, 10
I, 0.465, 0.34, 0.11, 0.346, 0.1425, 0.073, 0.113, 11
I, 0.24, 0.17, 0.05, 0.0545, 0.0205, 0.016, 0.0155, 5
F, 0.65, 0.565, 0.2, 1.6645, 0.7529999999999999, 0.367, 0.43, 12
I, 0.295, 0.21, 0.08, 0.1, 0.038, 0.026, 0.031, 8
M, 0.695, 0.53, 0.15, 1.477, 0.6375, 0.3025, 0.43, 14
M, 0.4749999999999999, 0.37, 0.125, 0.537, 0.222, 0.1215, 0.15, 9
M, 0.5349999999999999, 0.44, 0.165, 0.875, 0.279, 0.18, 0.3, 10
M, 0.485, 0.385, 0.105, 0.556, 0.296, 0.10400000000000001, 0.133, 7
M, 0.375, 0.30000000000000004, 0.1, 0.2465, 0.104, 0.0475, 0.083, 11
I, 0.575, 0.45, 0.135, 0.8715, 0.45, 0.162, 0.225, 10
M, 0.63, 0.525, 0.195, 1.3135, 0.49349999999999994, 0.2565, 0.465, 10
I, 0.245, 0.195, 0.060000000000000005, 0.095, 0.0445, 0.024499999999999997, 0.026, 4
I, 0.255, 0.19, 0.07, 0.0815, 0.028, 0.016, 0.031, 5
M, 0.48, 0.37, 0.135, 0.6315, 0.3445, 0.10150000000000002, 0.161, 7
M, 0.625, 0.495, 0.155, 1.025, 0.46, 0.1945, 0.34, 9
I, 0.37, 0.275, 0.1, 0.22, 0.094, 0.045, 0.065, 7
F, 0.64, 0.54, 0.17499999999999996, 1.221, 0.51, 0.259, 0.39, 15
I, 0.4749999999999999, 0.36000000000000004, 0.125, 0.4905, 0.205, 0.1305, 0.125, 8
F, 0.625, 0.47, 0.16999999999999998, 1.255, 0.525, 0.2415, 0.405, 10
F, 0.625, 0.5, 0.16, 1.217, 0.5725, 0.20700000000000002, 0.355, 11
M, 0.65, 0.51, 0.19, 1.542, 0.7155, 0.3735, 0.375, 9
M, 0.655, 0.54, 0.165, 1.403, 0.6955, 0.2385, 0.42, 11
I, 0.185, 0.37500000000000006, 0.12000000000000001, 0.46449999999999997, 0.196, 0.1045, 0.15, 6
F, 0.565, 0.45, 0.165, 0.9765, 0.322, 0.24399999999999997, 0.37, 12
F, 0.555, 0.44, 0.14, 0.846, 0.346, 0.1715, 0.2735, 10
F, 0.54, 0.475, 0.155, 1.217, 0.5305, 0.3075, 0.34, 16
F, 0.57, 0.44499999999999995, 0.15, 0.995, 0.504, 0.185, 0.2505, 9
M, 0.66, 0.51, 0.17499999999999996, 1.218, 0.5055, 0.303, 0.37, 11
M, 0.59, 0.465, 0.155, 1.136, 0.5245, 0.2615, 0.275, 11
F, 0.69, 0.53, 0.16999999999999998, 1.5535000000000003, 0.7945000000000001, 0.3485, 0.3695, 9
I, 0.445, 0.355, 0.095, 0.3615, 0.1415, 0.0785, 0.12, 8
F, 0.515, 0.4050000000000001, 0.12000000000000001, 0.646, 0.2895, 0.1405, 0.177, 10
I, 0.515, 0.42, 0.135, 0.711, 0.337, 0.144, 0.205, 13
F, 0.4749999999999999, 0.4, 0.115, 0.541, 0.186, 0.1025, 0.21, 13
M, 0.53, 0.425, 0.13, 0.702, 0.2975, 0.1395, 0.22, 9
M, 0.45499999999999996, 0.34, 0.135, 0.46199999999999997, 0.1675, 0.158, 0.12, 9
F, 0.445, 0.33, 0.105, 0.45249999999999996, 0.18, 0.10299999999999998, 0.123, 9
M, 0.645, 0.525, 0.16, 1.5075000000000003, 0.7455, 0.24500000000000002, 0.4325, 11
M, 0.645, 0.51, 0.19, 1.4865, 0.6445, 0.296, 0.425, 12
M, 0.675, 0.545, 0.185, 1.7375, 0.876, 0.3135, 0.469, 13
M, 0.595, 0.47, 0.17499999999999996, 0.991, 0.38200000000000006, 0.2395, 0.5, 12
I, 0.32, 0.255, 0.08499999999999999, 0.1745, 0.072, 0.033, 0.057, 8
M, 0.625, 0.5, 0.185, 1.2425, 0.5995, 0.248, 0.335, 10
F, 0.41, 0.305, 0.1, 0.363, 0.1735, 0.065, 0.11, 11
M, 0.625, 0.49, 0.165, 1.1165, 0.4895, 0.2615, 0.3325, 11
I, 0.53, 0.42, 0.13, 0.8365000000000001, 0.37449999999999994, 0.167, 0.249, 11
F, 0.6, 0.505, 0.19, 1.129, 0.4385, 0.256, 0.36, 13
M, 0.35, 0.265, 0.09, 0.197, 0.073, 0.0365, 0.077, 7
M, 0.61, 0.48, 0.16999999999999998, 1.137, 0.4565000000000001, 0.29, 0.347, 10
I, 0.55, 0.42, 0.115, 0.668, 0.2925, 0.137, 0.209, 11
F, 0.47, 0.37500000000000006, 0.125, 0.5615, 0.252, 0.137, 0.18, 10
F, 0.29, 0.225, 0.075, 0.14, 0.0515, 0.0235, 0.04, 5
I, 0.255, 0.195, 0.055, 0.0725, 0.0285, 0.017, 0.021, 4
F, 0.55, 0.415, 0.135, 0.7635000000000001, 0.318, 0.21, 0.2, 9
M, 0.5199999999999999, 0.435, 0.195, 0.973, 0.2985, 0.2135, 0.355, 18
M, 0.5, 0.37500000000000006, 0.15, 0.636, 0.2535, 0.145, 0.19, 10
I, 0.36, 0.2800000000000001, 0.08, 0.1755, 0.081, 0.050499999999999996, 0.07, 6
M, 0.35, 0.255, 0.065, 0.179, 0.0705, 0.0385, 0.06, 10
M, 0.635, 0.5, 0.18, 1.154, 0.4405, 0.23150000000000004, 0.387, 9
I, 0.4, 0.30000000000000004, 0.115, 0.318, 0.1335, 0.0725, 0.0935, 6
M, 0.62, 0.485, 0.155, 1.0295, 0.425, 0.23150000000000004, 0.335, 12
F, 0.595, 0.45999999999999996, 0.14, 1.0045, 0.4655, 0.2095, 0.2515, 9
F, 0.61, 0.49, 0.16999999999999998, 1.1775, 0.5655, 0.2385, 0.295, 15
M, 0.59, 0.45999999999999996, 0.14, 1.004, 0.49599999999999994, 0.2165, 0.26, 9
F, 0.705, 0.53, 0.16999999999999998, 1.564, 0.612, 0.394, 0.44, 10
F, 0.545, 0.44499999999999995, 0.17499999999999996, 0.8525, 0.3465, 0.189, 0.295, 13
M, 0.555, 0.435, 0.145, 0.9205, 0.404, 0.2275, 0.255, 8
I, 0.515, 0.39000000000000007, 0.14, 0.5555, 0.2, 0.1135, 0.2235, 12
M, 0.685, 0.53, 0.16999999999999998, 1.56, 0.647, 0.38299999999999995, 0.465, 11
M, 0.575, 0.475, 0.145, 0.857, 0.3665, 0.173, 0.269, 9
M, 0.58, 0.475, 0.15, 0.97, 0.38499999999999995, 0.2165, 0.35, 11
I, 0.375, 0.29, 0.1, 0.219, 0.0925, 0.038, 0.075, 6
I, 0.495, 0.4, 0.145, 0.578, 0.2545, 0.1305, 0.1645, 8
M, 0.59, 0.47, 0.18, 1.187, 0.5985, 0.227, 0.31, 9
I, 0.39, 0.31, 0.08499999999999999, 0.344, 0.181, 0.0695, 0.079, 7
I, 0.4749999999999999, 0.37500000000000006, 0.11, 0.45599999999999996, 0.182, 0.099, 0.16, 9
F, 0.445, 0.335, 0.14, 0.45649999999999996, 0.1785, 0.114, 0.14, 11
M, 0.58, 0.455, 0.15, 1.114, 0.4765, 0.21550000000000002, 0.265, 8
F, 0.625, 0.515, 0.18, 1.3485, 0.5255, 0.252, 0.3925, 14
M, 0.695, 0.56, 0.185, 1.74, 0.885, 0.3715, 0.4375, 10
F, 0.62, 0.485, 0.22, 1.5110000000000001, 0.5095, 0.284, 0.51, 17
M, 0.625, 0.505, 0.215, 1.4455000000000002, 0.49599999999999994, 0.287, 0.435, 22
F, 0.66, 0.525, 0.205, 1.3665, 0.5005, 0.291, 0.41, 18
I, 0.5, 0.37, 0.115, 0.5745, 0.306, 0.11200000000000002, 0.141, 7
F, 0.55, 0.42999999999999994, 0.15, 0.655, 0.2635, 0.122, 0.221, 8
F, 0.695, 0.535, 0.17499999999999996, 1.361, 0.5465, 0.2815, 0.465, 10
F, 0.465, 0.39000000000000007, 0.14, 0.5555, 0.213, 0.10749999999999998, 0.215, 15
F, 0.6, 0.475, 0.135, 1.4405, 0.5885, 0.191, 0.3175, 9
I, 0.42, 0.325, 0.1, 0.368, 0.1675, 0.0625, 0.1135, 11
F, 0.73, 0.575, 0.185, 1.8794999999999997, 0.931, 0.38, 0.4825, 12
M, 0.46, 0.38, 0.135, 0.482, 0.207, 0.12249999999999998, 0.145, 10
I, 0.5, 0.37, 0.12000000000000001, 0.5445, 0.249, 0.1065, 0.152, 8
F, 0.665, 0.54, 0.195, 1.7639999999999998, 0.8505000000000001, 0.3615, 0.47, 11
M, 0.61, 0.485, 0.16, 1.0145, 0.5315, 0.212, 0.2415, 8
F, 0.585, 0.45999999999999996, 0.15, 1.0035, 0.503, 0.2105, 0.2515, 11
I, 0.45499999999999996, 0.355, 0.08, 0.45199999999999996, 0.2165, 0.0995, 0.125, 9
M, 0.45, 0.35, 0.13, 0.46549999999999997, 0.2075, 0.1045, 0.135, 8
M, 0.445, 0.32, 0.12000000000000001, 0.414, 0.19900000000000004, 0.09, 0.117, 7
M, 0.61, 0.49, 0.15, 1.103, 0.425, 0.20250000000000004, 0.36, 23
I, 0.4749999999999999, 0.36000000000000004, 0.135, 0.4355, 0.196, 0.0925, 0.125, 8
M, 0.645, 0.5, 0.16, 1.3815, 0.672, 0.326, 0.315, 9
M, 0.625, 0.49, 0.12000000000000001, 0.8765, 0.456, 0.18, 0.233, 10
F, 0.465, 0.39000000000000007, 0.11, 0.6355, 0.1815, 0.157, 0.225, 13
