@relation tic-tac-toe
@attribute TopLeft {x, o, b}
@attribute TopMiddle {x, o, b}
@attribute TopRight {x, o, b}
@attribute MiddleLeft {x, o, b}
@attribute MiddleMiddle {o, b, x}
@attribute MiddleRight {o, b, x}
@attribute BottomLeft {x, o, b}
@attribute BottomMiddle {o, x, b}
@attribute BottomRight {o, x, b}
@attribute Class {positive, negative, unlabeled}
@inputs TopLeft, TopMiddle, TopRight, MiddleLeft, MiddleMiddle, MiddleRight, BottomLeft, BottomMiddle, BottomRight
@outputs Class
@data
o, b, x, x, o, x, o, x, o, negative
b, x, x, o, x, b, o, x, o, positive
o, b, x, b, x, o, x, x, o, positive
x, o, b, o, o, b, x, x, x, positive
x, o, b, x, o, b, x, b, b, positive
o, b, x, o, x, o, o, x, x, negative
x, b, o, o, x, o, x, b, x, positive
o, x, o, x, x, o, o, x, x, positive
o, o, b, x, o, x, x, x, o, negative
b, x, x, o, o, o, x, x, o, negative
b, o, x, b, x, o, x, x, o, positive
o, x, x, o, o, x, x, o, x, positive
b, o, o, x, o, x, x, o, x, negative
b, b, o, x, o, b, o, x, x, negative
b, x, o, x, b, o, x, b, o, negative
x, x, o, x, o, o, b, x, o, negative
x, o, b, x, o, b, b, o, x, negative
o, x, o, x, x, b, o, x, b, positive
o, o, x, x, x, x, o, b, b, positive
o, o, b, x, x, x, o, x, b, positive
x, b, x, o, o, o, b, b, x, negative
x, o, x, o, o, x, x, x, o, negative
b, b, o, x, o, o, x, x, x, positive
x, x, b, x, b, o, x, o, o, positive
b, o, x, b, x, x, o, o, x, positive
o, b, x, o, x, o, x, b, x, positive
x, o, b, x, b, o, x, x, o, positive
o, x, x, o, x, b, b, x, o, positive
o, o, b, x, x, x, x, o, b, positive
o, b, x, b, o, x, b, x, o, negative
o, o, o, o, x, x, x, x, b, negative
x, x, x, b, o, o, x, b, o, positive
o, b, b, o, x, x, o, x, b, negative
x, b, x, x, b, b, o, o, o, negative
x, x, o, b, o, x, o, x, o, negative
b, o, x, x, x, o, x, o, b, positive
o, o, b, b, x, o, x, x, x, positive
x, b, b, x, o, o, x, o, x, positive
b, x, b, b, x, o, o, x, b, positive
o, o, b, x, o, x, x, o, x, negative
x, o, o, o, x, b, b, x, x, positive
o, x, b, b, x, o, b, x, b, positive
x, x, o, o, o, x, x, x, o, negative
o, x, x, o, o, b, o, x, x, negative
x, x, x, x, o, b, b, o, o, positive
x, o, x, o, o, o, b, x, x, negative
x, x, o, o, o, o, x, b, x, negative
x, b, o, x, b, x, x, o, o, positive
o, o, o, b, x, b, x, x, b, negative
o, x, x, b, x, b, x, o, o, positive
x, o, x, x, o, x, o, x, o, negative
x, b, x, x, o, b, x, o, o, positive
x, b, x, b, x, o, x, o, o, positive
o, b, b, b, o, b, x, x, x, positive
x, b, x, o, o, o, b, x, b, negative
x, o, b, x, b, o, x, b, b, positive
o, o, b, x, b, o, x, x, x, unlabeled
o, b, b, x, x, x, o, o, x, unlabeled
x, b, x, o, x, o, x, o, b, unlabeled
b, o, o, x, x, x, b, b, b, unlabeled
b, b, x, o, x, o, x, o, x, unlabeled
x, o, o, b, x, x, o, b, x, unlabeled
b, x, b, b, x, b, o, x, o, unlabeled
b, x, o, b, x, b, o, x, b, unlabeled
x, x, x, o, x, o, o, x, o, unlabeled
o, o, x, x, x, x, o, x, o, unlabeled
x, o, b, o, b, o, x, x, x, unlabeled
x, x, o, x, x, b, o, o, o, unlabeled
x, o, x, x, x, o, o, x, o, unlabeled
o, o, x, x, o, x, b, x, o, unlabeled
o, x, x, b, x, x, o, o, o, unlabeled
o, b, o, o, b, x, x, x, x, unlabeled
x, x, b, o, o, o, b, b, x, unlabeled
x, x, b, o, o, o, x, b, b, unlabeled
o, b, b, o, x, o, x, x, x, unlabeled
b, b, o, x, b, o, x, x, o, unlabeled
b, b, x, b, b, x, o, o, x, unlabeled
b, x, x, o, o, o, x, b, b, unlabeled
x, x, x, o, b, b, o, b, b, unlabeled
x, b, x, x, o, o, x, o, b, unlabeled
o, o, o, x, o, x, x, x, b, unlabeled
b, o, x, o, x, b, x, x, o, unlabeled
o, o, o, x, x, b, x, x, o, unlabeled
b, o, o, x, x, x, x, o, b, unlabeled
x, x, b, x, o, b, x, o, o, unlabeled
x, o, o, x, b, o, x, b, x, unlabeled
x, o, x, x, o, o, x, b, b, unlabeled
b, b, x, x, x, b, o, o, o, unlabeled
x, o, b, x, b, b, x, b, o, unlabeled
x, x, o, x, b, x, o, o, o, unlabeled
x, b, x, o, o, o, o, x, x, unlabeled
x, x, o, b, x, o, x, o, o, unlabeled
x, x, o, x, o, b, o, o, x, unlabeled
b, x, o, x, x, x, o, b, o, unlabeled
x, x, x, x, o, o, o, o, x, unlabeled
o, o, x, x, o, x, x, b, o, unlabeled
x, o, x, o, x, b, x, b, o, unlabeled
x, x, o, x, o, o, o, x, b, unlabeled
o, o, o, x, x, o, b, x, x, unlabeled
x, x, o, b, o, o, o, x, x, unlabeled
o, b, x, b, o, x, x, b, o, unlabeled
o, o, o, b, x, b, x, b, x, unlabeled
o, x, o, o, x, x, b, x, b, unlabeled
o, o, x, o, b, b, x, x, x, unlabeled
o, x, b, b, o, x, b, x, o, unlabeled
x, b, o, x, x, b, o, o, x, unlabeled
x, o, o, x, x, b, o, b, x, unlabeled
x, x, x, x, o, o, o, b, b, unlabeled
x, x, o, x, o, o, x, b, b, unlabeled
o, b, b, o, b, b, x, x, x, unlabeled
o, b, b, x, o, o, x, x, x, unlabeled
o, b, x, b, b, x, b, o, x, unlabeled
x, o, x, x, b, x, o, o, o, unlabeled
b, o, b, b, o, b, x, x, x, unlabeled
x, b, o, b, x, o, x, o, x, unlabeled
o, b, x, o, x, b, x, x, o, unlabeled
b, o, x, b, o, x, o, x, x, unlabeled
x, x, o, o, o, b, o, x, x, unlabeled
o, x, x, x, x, o, o, o, x, unlabeled
o, o, o, b, x, x, x, o, x, unlabeled
o, x, b, o, x, x, b, x, o, unlabeled
o, b, b, b, b, o, x, x, x, unlabeled
x, x, x, o, b, o, b, x, o, unlabeled
b, b, b, o, o, b, x, x, x, unlabeled
b, b, x, b, o, x, b, o, x, unlabeled
x, o, x, b, x, b, o, o, x, unlabeled
o, b, x, b, o, b, x, x, o, unlabeled
o, x, x, o, b, x, o, x, o, unlabeled
b, b, o, x, x, o, b, x, o, unlabeled
x, b, o, o, x, x, b, o, x, unlabeled
b, x, x, x, o, x, o, o, o, unlabeled
o, b, x, b, x, b, x, b, o, unlabeled
b, x, b, o, o, o, x, x, b, unlabeled
o, o, b, b, b, b, x, x, x, unlabeled
b, o, x, b, o, b, x, o, x, unlabeled
o, x, x, o, o, x, b, b, x, unlabeled
b, x, x, o, x, o, x, o, b, unlabeled
x, x, b, o, x, b, o, x, o, unlabeled
o, x, o, b, x, b, b, x, b, unlabeled
o, x, o, x, x, x, b, o, b, unlabeled
b, b, o, x, x, x, b, b, o, unlabeled
x, x, x, o, x, b, o, b, o, unlabeled
o, o, o, x, b, b, b, x, x, unlabeled
x, o, x, x, o, o, o, x, x, unlabeled
x, o, x, b, o, x, b, o, b, unlabeled
b, b, o, o, o, x, x, x, x, unlabeled
x, b, o, x, o, x, o, x, o, unlabeled
x, o, o, x, o, b, x, b, x, unlabeled
x, o, o, b, x, o, b, x, x, unlabeled
x, x, o, b, x, o, o, b, x, unlabeled
o, b, x, o, x, x, x, o, b, unlabeled
x, x, x, b, b, o, x, o, o, unlabeled
b, x, b, o, o, o, b, x, x, unlabeled
x, o, o, x, o, x, o, x, b, unlabeled
b, x, x, o, x, o, o, x, b, unlabeled
x, x, x, x, o, b, o, b, o, unlabeled
x, b, o, x, o, b, x, x, o, unlabeled
x, b, o, x, o, x, x, b, o, unlabeled
b, o, x, b, x, b, x, o, b, unlabeled
b, o, o, x, x, x, o, x, b, unlabeled
x, b, b, x, o, b, x, o, b, unlabeled
x, x, b, x, o, o, x, o, b, unlabeled
x, b, o, x, b, o, x, o, x, unlabeled
o, o, x, o, x, x, o, x, b, unlabeled
x, b, x, o, x, o, b, o, x, unlabeled
x, x, x, b, o, b, b, b, o, unlabeled
o, x, o, o, x, o, x, x, x, unlabeled
x, o, o, x, x, o, x, o, x, unlabeled
o, x, x, o, o, o, b, x, x, unlabeled
x, x, x, o, x, o, x, o, o, unlabeled
x, x, o, b, x, o, b, o, x, unlabeled
x, o, o, x, x, x, o, x, o, unlabeled
b, o, b, x, x, x, o, o, x, unlabeled
o, b, x, b, x, b, x, o, b, unlabeled
x, o, o, b, x, x, b, o, x, unlabeled
x, x, x, o, o, b, b, x, o, unlabeled
o, o, b, x, x, x, b, b, b, unlabeled
o, x, x, x, o, x, o, b, o, unlabeled
o, x, b, b, x, o, o, x, x, unlabeled
x, o, o, b, o, x, x, o, x, unlabeled
b, o, x, x, o, o, x, o, x, unlabeled
o, o, o, o, x, x, b, x, x, unlabeled
b, x, o, o, x, b, o, x, x, unlabeled
x, o, b, x, o, b, x, x, o, unlabeled
b, o, x, x, o, x, x, o, o, unlabeled
o, b, x, x, o, x, o, b, x, unlabeled
x, o, x, x, o, b, b, o, b, unlabeled
b, b, x, o, x, b, x, b, o, unlabeled
o, x, b, o, b, o, x, x, x, unlabeled
x, o, x, x, o, b, o, o, x, unlabeled
x, b, o, b, x, o, b, b, x, unlabeled
o, b, x, o, x, x, b, o, x, unlabeled
o, x, x, o, b, o, o, x, x, unlabeled
o, x, x, o, x, b, o, o, x, unlabeled
b, o, o, x, x, x, x, b, o, unlabeled
x, o, o, x, o, x, x, b, b, unlabeled
x, b, o, x, x, o, b, o, x, unlabeled
o, x, x, o, o, o, x, b, x, unlabeled
b, o, o, b, o, x, x, x, x, unlabeled
x, x, o, x, b, o, b, b, o, unlabeled
x, b, b, b, x, o, o, b, x, unlabeled
x, x, x, o, o, x, b, b, o, unlabeled
x, x, o, b, x, x, o, o, o, unlabeled
o, o, x, b, x, x, b, o, x, unlabeled
o, x, x, x, o, b, b, b, o, unlabeled
x, x, x, b, o, b, b, o, b, unlabeled
x, b, x, x, b, o, x, o, o, unlabeled
x, b, o, o, x, b, o, x, x, unlabeled
o, o, x, o, b, x, b, x, x, unlabeled
b, b, b, o, b, o, x, x, x, unlabeled
x, o, x, o, o, x, o, x, x, unlabeled
x, x, o, o, x, b, o, b, x, unlabeled
o, x, b, b, o, o, x, x, x, unlabeled
x, o, o, x, x, b, x, o, b, unlabeled
o, b, x, b, b, x, o, b, x, unlabeled
o, x, b, b, o, b, x, x, o, unlabeled
o, b, x, x, o, x, b, b, o, unlabeled
x, x, x, o, o, x, o, o, x, unlabeled
o, b, b, o, x, b, o, x, x, unlabeled
x, x, o, o, b, o, x, x, o, unlabeled
x, b, o, b, x, o, o, x, x, unlabeled
x, b, o, x, x, o, o, x, o, unlabeled
x, o, x, o, o, x, b, b, x, unlabeled
x, b, x, o, x, o, o, b, x, unlabeled
x, o, x, x, b, o, x, b, o, unlabeled
x, b, b, x, b, o, x, o, b, unlabeled
b, x, o, b, x, o, b, x, b, unlabeled
o, o, x, b, b, o, x, x, x, unlabeled
b, o, o, o, b, x, x, x, x, unlabeled
b, b, x, o, o, o, b, x, x, unlabeled
x, o, b, x, b, o, x, o, x, unlabeled
x, b, o, b, b, o, x, x, o, unlabeled
x, b, o, x, o, o, o, x, x, unlabeled
b, x, o, x, o, b, o, x, b, unlabeled
o, b, o, x, x, x, b, b, b, unlabeled
b, o, x, o, b, x, b, b, x, unlabeled
x, o, x, o, o, b, x, o, x, unlabeled
o, o, x, o, x, x, x, b, b, unlabeled
o, b, o, x, x, x, o, b, x, unlabeled
o, x, x, x, x, o, x, o, o, unlabeled
o, x, x, b, x, o, b, x, o, unlabeled
o, o, x, b, x, o, x, b, x, unlabeled
b, b, x, x, x, o, x, o, o, unlabeled
o, o, x, b, b, x, o, x, x, unlabeled
o, o, x, o, x, x, b, b, x, unlabeled
o, b, b, o, o, x, x, x, x, unlabeled
o, o, x, b, x, x, x, b, o, unlabeled
o, b, b, x, x, x, b, o, b, unlabeled
x, o, x, b, x, b, x, o, o, unlabeled
o, x, o, x, x, x, b, b, o, unlabeled
b, b, o, b, o, x, o, x, x, unlabeled
o, b, x, x, o, x, b, o, x, unlabeled
x, x, x, b, x, o, o, b, o, unlabeled
o, b, o, x, o, x, o, x, x, unlabeled
x, o, o, x, x, x, b, o, b, unlabeled
b, b, o, b, o, b, x, x, x, unlabeled
x, o, b, o, x, x, b, o, x, unlabeled
x, b, b, x, x, b, o, o, o, unlabeled
b, x, x, b, x, b, o, o, o, unlabeled
x, o, x, o, x, b, x, o, b, unlabeled
b, x, b, x, x, b, o, o, o, unlabeled
x, x, x, o, o, b, x, b, o, unlabeled
x, o, x, b, x, o, o, b, x, unlabeled
b, x, x, o, x, o, x, b, o, unlabeled
o, x, x, b, o, b, b, x, o, unlabeled
x, b, o, x, b, b, x, o, b, unlabeled
b, x, x, b, b, x, o, o, o, unlabeled
x, b, o, b, o, x, o, b, x, unlabeled
b, b, o, b, x, o, x, x, o, unlabeled
o, o, x, x, o, x, o, x, x, unlabeled
o, b, x, o, x, x, x, b, o, unlabeled
b, x, b, x, x, o, o, x, o, unlabeled
x, x, o, b, b, o, b, x, o, unlabeled
x, x, o, o, o, x, o, x, b, unlabeled
b, x, o, x, x, x, o, o, b, unlabeled
o, o, x, o, o, x, x, x, x, unlabeled
o, o, b, o, x, b, x, x, x, unlabeled
b, x, o, x, o, x, o, o, x, unlabeled
x, o, b, x, x, o, o, b, x, unlabeled
x, x, o, o, x, o, x, b, o, unlabeled
o, o, o, x, x, o, x, b, x, unlabeled
x, o, b, x, o, x, x, b, o, unlabeled
b, x, x, o, b, x, o, o, x, unlabeled
b, o, x, b, b, x, o, b, x, unlabeled
o, o, x, x, b, x, o, b, x, unlabeled
b, x, x, o, o, o, b, b, x, unlabeled
x, o, o, x, x, x, o, b, b, unlabeled
x, x, o, x, o, x, x, o, o, unlabeled
x, o, x, o, x, x, o, o, x, unlabeled
x, x, o, x, b, o, x, o, b, unlabeled
o, o, b, o, x, x, o, x, x, unlabeled
x, o, b, x, o, x, b, o, b, unlabeled
x, o, o, x, x, o, b, x, o, unlabeled
b, x, o, o, o, b, x, x, x, unlabeled
o, o, o, x, b, x, x, x, o, unlabeled
o, b, x, b, x, x, x, o, o, unlabeled
x, x, x, b, o, o, b, b, b, unlabeled
x, o, o, o, o, x, x, x, x, unlabeled
x, b, x, o, o, x, o, b, x, unlabeled
o, o, o, o, x, x, x, b, x, unlabeled
x, x, o, b, o, x, o, b, b, unlabeled
x, b, x, o, x, o, x, b, o, unlabeled
x, o, o, o, x, x, b, b, x, unlabeled
x, o, b, b, x, o, b, b, x, unlabeled
o, o, o, x, b, x, x, o, x, unlabeled
b, x, x, b, x, o, o, x, o, unlabeled
x, x, o, o, x, b, b, o, x, unlabeled
x, b, x, b, x, o, o, o, x, unlabeled
o, x, x, o, o, o, x, x, b, unlabeled
x, x, x, x, o, o, o, x, o, unlabeled
x, o, b, x, o, o, x, x, b, unlabeled
o, x, b, o, o, x, o, x, x, unlabeled
b, o, x, o, x, b, x, o, x, unlabeled
b, o, x, x, x, x, o, b, o, unlabeled
b, o, x, o, x, o, x, x, b, unlabeled
x, x, o, o, o, x, x, o, x, unlabeled
o, o, x, o, x, x, x, o, x, unlabeled
o, b, b, o, x, x, o, b, x, unlabeled
o, b, x, o, x, b, o, x, b, unlabeled
o, b, o, x, x, x, x, b, o, unlabeled
o, o, x, b, o, b, x, x, x, unlabeled
o, b, x, b, x, o, x, b, b, unlabeled
o, x, x, o, x, o, x, b, b, unlabeled
o, x, x, o, x, o, x, x, o, unlabeled
o, o, o, x, o, x, b, x, x, unlabeled
x, b, b, b, x, b, o, o, x, unlabeled
o, x, x, b, o, x, b, b, o, unlabeled
x, o, o, x, o, x, o, b, x, unlabeled
o, x, b, o, x, x, o, b, b, unlabeled
o, x, b, x, x, x, o, o, b, unlabeled
b, o, x, x, x, x, b, o, o, unlabeled
o, x, o, b, x, x, b, x, o, unlabeled
o, x, b, o, o, b, x, x, x, unlabeled
o, x, b, o, o, x, x, x, o, unlabeled
b, o, x, x, o, b, b, o, x, unlabeled
o, x, x, o, x, x, o, o, b, unlabeled
o, x, b, x, o, b, b, x, o, unlabeled
o, x, o, x, o, b, x, x, o, unlabeled
x, b, o, o, x, o, x, x, o, unlabeled
b, o, x, o, b, x, x, o, x, unlabeled
o, b, x, o, b, x, b, b, x, unlabeled
x, o, o, x, b, b, x, o, x, unlabeled
b, x, o, x, o, o, o, x, x, unlabeled
x, x, b, o, x, o, b, x, o, unlabeled
x, b, b, x, b, o, x, b, o, unlabeled
o, b, x, b, x, o, x, o, x, unlabeled
x, b, b, o, x, o, x, o, x, unlabeled
b, b, x, o, o, x, o, x, x, unlabeled
o, x, x, o, x, o, o, b, x, unlabeled
o, x, x, o, o, b, x, x, o, unlabeled
x, o, x, x, x, o, o, o, x, unlabeled
o, x, b, b, x, b, b, x, o, unlabeled
x, x, b, o, x, x, o, o, o, unlabeled
x, b, x, o, o, x, b, o, x, unlabeled
x, x, x, b, b, b, o, b, o, unlabeled
b, x, b, b, x, o, b, x, o, unlabeled
b, x, o, b, x, b, b, x, o, unlabeled
o, o, x, x, o, x, x, o, b, unlabeled
o, x, x, o, x, b, x, b, o, unlabeled
o, b, x, o, b, x, o, x, b, unlabeled
b, o, b, x, x, x, x, o, o, unlabeled
o, x, x, x, o, o, o, x, x, unlabeled
o, b, x, x, o, b, x, b, o, unlabeled
o, b, x, o, x, x, o, b, b, unlabeled
b, b, x, b, o, x, o, b, x, unlabeled
x, x, o, x, b, b, x, o, o, unlabeled
b, o, o, x, x, x, o, b, x, unlabeled
x, b, o, x, x, x, o, b, o, unlabeled
o, b, o, x, x, o, x, x, o, unlabeled
b, x, o, b, o, o, x, x, x, unlabeled
b, x, o, b, b, o, x, x, o, unlabeled
x, x, x, b, o, b, o, x, o, unlabeled
b, o, x, o, x, x, b, o, x, unlabeled
x, b, b, o, o, o, x, b, x, unlabeled
b, b, x, b, x, x, o, o, o, unlabeled
x, o, b, b, x, b, o, b, x, unlabeled
b, o, x, o, x, x, o, b, x, unlabeled
x, o, o, x, x, x, b, b, o, unlabeled
b, o, x, o, x, x, x, o, b, unlabeled
x, o, b, o, x, o, x, b, x, unlabeled
o, x, o, o, x, b, b, x, x, unlabeled
x, x, x, o, b, o, o, b, x, unlabeled
x, o, o, o, x, x, x, o, x, unlabeled
x, o, o, x, b, x, x, o, b, unlabeled
x, o, b, x, o, o, x, b, x, unlabeled
b, b, o, x, x, x, o, x, o, unlabeled
o, o, x, o, x, b, x, b, x, unlabeled
o, b, o, x, o, b, x, x, x, unlabeled
o, x, b, x, o, x, b, b, o, unlabeled
o, x, o, x, o, x, b, x, o, unlabeled
o, x, o, b, x, b, x, x, o, unlabeled
o, o, b, x, o, b, x, x, x, unlabeled
b, x, b, b, x, x, o, o, o, unlabeled
b, x, o, x, x, o, b, b, o, unlabeled
x, x, o, o, x, o, b, x, b, unlabeled
o, x, x, o, x, x, o, b, o, unlabeled
o, b, x, o, b, x, x, o, x, unlabeled
b, b, x, b, x, o, x, b, o, unlabeled
x, b, b, o, x, b, b, o, x, unlabeled
x, x, o, x, o, b, x, o, b, unlabeled
b, x, x, o, o, o, x, o, x, unlabeled
x, x, b, x, x, o, o, o, o, unlabeled
b, x, b, o, x, o, x, x, o, unlabeled
o, x, o, x, o, o, x, x, x, unlabeled
o, b, x, b, x, x, o, o, x, unlabeled
b, b, o, x, o, x, o, x, b, unlabeled
b, x, o, b, x, o, x, b, o, unlabeled
o, x, x, b, o, x, o, b, x, unlabeled
x, b, o, x, x, o, o, b, x, unlabeled
x, x, o, b, x, o, b, b, o, unlabeled
x, x, x, o, b, b, o, x, o, unlabeled
x, b, o, x, x, b, x, o, o, unlabeled
o, o, x, x, x, b, x, b, o, unlabeled
x, b, o, o, b, o, x, x, x, unlabeled
b, x, o, x, x, o, o, x, b, unlabeled
b, o, x, b, x, b, x, b, o, unlabeled
x, x, x, b, o, b, x, o, o, unlabeled
x, o, b, o, x, x, o, b, x, unlabeled
o, b, o, x, x, x, x, o, b, unlabeled
x, x, x, x, o, b, o, o, b, unlabeled
x, o, o, x, x, x, x, o, o, unlabeled
x, o, b, o, x, b, b, b, x, unlabeled
x, x, x, o, b, b, x, o, o, unlabeled
b, b, x, o, x, x, o, o, x, unlabeled
b, x, b, o, x, b, o, x, b, unlabeled
x, o, o, b, x, o, x, x, o, unlabeled
o, x, x, o, b, b, o, x, b, unlabeled
x, x, x, o, b, o, o, x, b, unlabeled
b, x, o, x, x, b, o, x, o, unlabeled
o, x, x, b, x, o, x, b, o, unlabeled
b, b, x, o, o, o, x, b, x, unlabeled
o, o, o, x, o, x, x, b, x, unlabeled
x, o, b, x, b, x, x, o, o, unlabeled
b, b, x, x, b, x, o, o, o, unlabeled
o, o, x, o, b, x, x, b, x, unlabeled
b, x, x, o, x, o, b, x, o, unlabeled
x, x, o, o, x, o, x, o, x, unlabeled
x, o, b, x, x, x, b, o, o, unlabeled
x, x, b, o, x, o, o, b, x, unlabeled
x, o, x, x, o, o, b, o, x, unlabeled
x, o, x, x, o, o, x, x, o, unlabeled
o, x, x, b, o, o, x, x, o, unlabeled
x, o, b, x, x, o, x, b, o, unlabeled
b, b, x, o, x, o, x, x, o, unlabeled
x, b, b, o, o, o, b, x, x, unlabeled
b, o, b, b, o, x, x, o, x, unlabeled
o, b, b, x, o, x, x, b, o, unlabeled
x, o, x, x, x, o, x, o, o, unlabeled
o, x, o, x, x, o, b, x, b, unlabeled
b, x, x, b, x, o, x, o, o, unlabeled
o, x, x, b, x, b, o, x, o, unlabeled
x, b, b, o, x, o, b, b, x, unlabeled
x, o, b, b, x, o, o, x, x, unlabeled
x, x, x, b, o, x, o, b, o, unlabeled
x, x, x, x, b, o, o, o, b, unlabeled
o, x, o, x, x, x, o, x, o, unlabeled
o, x, x, x, o, x, o, o, x, unlabeled
b, o, x, b, x, o, x, o, x, unlabeled
x, x, x, o, o, x, b, o, b, unlabeled
o, x, o, x, x, x, o, b, b, unlabeled
x, x, x, o, x, o, o, b, b, unlabeled
o, o, b, o, b, x, x, x, x, unlabeled
o, b, b, x, x, x, b, b, o, unlabeled
o, x, o, o, x, x, x, o, x, unlabeled
o, b, x, o, o, x, x, b, x, unlabeled
x, b, x, o, o, o, x, o, x, unlabeled
